change_identifier,change_description,valid_from,old_schema_version,new_schema_version,change_type,old_class,new_class,old_parent_class,new_parent_class,old_class_meaning_binding,new_class_meaning_binding,old_property,new_property,old_domain,new_domain,old_range,new_range,old_individual,new_individual,old_individual_associated_class,new_individual_associated_class
0,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001617,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
1,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0000036,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
2,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0000013,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
3,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001831,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
4,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001614,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
5,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001678,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
6,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#BodyMassIndex,https://biomedit.ch/rdf/sphn-schema/sphn#BodyMassIndex,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],"['http://snomed.info/id/60621009', 'https://loinc.org/rdf/39156-5']","['http://snomed.info/id/60621009', 'https://loinc.org/rdf/39156-5']",,,,,,,,,,
7,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001048,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
8,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#Laterality,https://biomedit.ch/rdf/sphn-schema/sphn#Laterality,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],['https://loinc.org/rdf/20228-3'],['https://loinc.org/rdf/20228-3'],,,,,,,,,,
9,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#Transcript,https://biomedit.ch/rdf/sphn-schema/sphn#Transcript,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],['http://purl.obolibrary.org/obo/SO_0000673'],['http://purl.obolibrary.org/obo/SO_0000673'],,,,,,,,,,
